VARIABLES = "X", "Y", "xhi_csi", "xhi_eta", "xhj_csi", "xhj_eta", "JacobianHi", "JacobianHj"
ZONE I=161, J=60, F=POINT
21.000000 0.000000 1.543223 0.000091 0.471992
19.544150 -0.000033 1.789359 0.000102 0.507453
18.191877 -0.000062 2.074722 0.000116 0.588168
16.935816 -0.000091 2.405557 0.000133 0.681726
15.769125 -0.000120 2.789116 0.000158 0.790170
14.685448 -0.000150 3.233810 0.000189 0.915870
13.678881 -0.000181 3.749411 0.000230 1.061572
12.743941 -0.000215 4.347191 0.000282 1.230461
11.875532 -0.000252 5.040268 0.000351 1.426229
11.068925 -0.000290 5.843940 0.000433 1.653159
10.319723 -0.000332 6.775729 0.000550 1.916219
9.623848 -0.000376 7.856156 0.000681 2.221171
8.977507 -0.000422 9.109025 0.000864 2.574701
8.377182 -0.000470 10.561771 0.001090 2.984562
7.819602 -0.000520 12.246364 0.001355 3.459758
7.301732 -0.000571 14.199861 0.001696 4.010763
6.820753 -0.000622 16.465324 0.002140 4.649701
6.374047 -0.000675 19.091938 0.002621 5.390672
5.959182 -0.000727 22.137712 0.003166 6.250096
5.573901 -0.000778 25.669238 0.003862 7.247055
5.216109 -0.000827 29.763883 0.004505 8.403719
4.883858 -0.000874 34.509679 0.005268 9.745935
4.575342 -0.000918 40.010003 0.005980 11.303819
4.288883 -0.000957 46.383611 0.006389 13.112473
4.022923 -0.000990 53.765648 0.006480 15.212990
3.776018 -0.001016 62.313537 0.005747 17.653259
3.546824 -0.001034 72.205194 0.003801 20.489290
3.334096 -0.001041 83.646827 -0.000188 23.787076
3.136679 -0.001037 96.873923 -0.007062 27.623847
2.953499 -0.001020 112.158339 -0.017428 32.090360
2.783562 -0.000990 129.809075 -0.034731 37.294259
2.625945 -0.000944 150.192708 -0.059305 43.362491
2.479791 -0.000884 173.731644 -0.091966 50.445512
2.344307 -0.000810 200.937666 -0.135306 58.723433
2.218758 -0.000724 232.420791 -0.189643 68.411255
2.102463 -0.000628 268.955566 -0.256999 79.768294
1.994792 -0.000526 311.475081 -0.333368 93.108305
1.895162 -0.000422 361.199527 -0.417569 108.810929
1.803032 -0.000321 419.645801 -0.500479 127.345920
1.717906 -0.000227 488.791736 -0.579649 149.294789
1.639324 -0.000142 571.187291 -0.644718 175.377715
1.566862 -0.000071 670.029796 -0.691563 206.509634
1.500131 -0.000014 789.519727 -0.726077 243.857160
1.438772 0.000030 935.201460 -0.755599 288.922763
1.382455 0.000060 1114.024608 -0.769125 343.697296
1.330881 0.000078 1335.630829 -0.813535 410.833784
1.283774 0.000088 1612.953431 -0.894879 493.936059
1.240886 0.000090 1963.531054 -1.169177 598.037913
1.201989 0.000087 2412.515937 -1.632834 730.382330
1.166884 0.000080 2996.010671 -2.671297 901.708790
1.135392 0.000072 3768.453788 -4.629917 1128.472640
1.107359 0.000062 4812.835639 -8.564767 1437.354030
1.082656 0.000052 6264.594917 -15.835957 1874.275370
1.061187 0.000042 8352.506090 -31.932510 2524.081631
1.042884 0.000031 11479.584649 -68.126946 3559.982455
1.027722 0.000021 16449.374201 -164.678406 5384.646926
1.015721 0.000013 25009.634965 -483.695862 9119.200869
1.006970 0.000006 41701.712516 -2061.973878 18833.489674
1.001679 0.000001 79931.738315 -15372.745677 54204.616192
1.000000 0.000000 181847.575685 -201022.318856 321478.778436
20.984195 0.804826 1.543223 0.000234 0.471988
19.529475 0.747392 1.789353 0.000261 0.507448
18.178251 0.694061 2.074705 0.000294 0.588163
16.923163 0.644536 2.405534 0.000334 0.681720
15.757377 0.598544 2.789087 0.000383 0.790164
14.674540 0.555830 3.233786 0.000446 0.915863
13.668753 0.516158 3.749341 0.000524 1.061563
12.734537 0.479311 4.347118 0.000614 1.230450
11.866801 0.445086 5.040195 0.000733 1.426217
11.060818 0.413294 5.843793 0.000878 1.653144
10.312197 0.383763 6.775562 0.001050 1.916199
9.616860 0.356331 7.856004 0.001265 2.221144
8.971020 0.330847 9.108788 0.001513 2.574668
8.371160 0.307174 10.561498 0.001809 2.984518
7.814011 0.285182 12.246090 0.002173 3.459704
7.296542 0.264752 14.199555 0.002607 4.010692
6.815936 0.245773 16.464669 0.003030 4.649601
6.369575 0.228144 19.091442 0.003511 5.390541
5.955030 0.211769 22.137300 0.004021 6.249921
